description,url,price,images,manufacturer,name
"Από την πρώτη στιγμή που θα χρησιμοποιήσεις το Apple iPhone 7, θα καταλάβεις ότι δεν έχεις ξαναζήσει παρόμοια εμπειρία. Με πωλήσεις πάνω από 1 δισεκατομμύριο κομματία, το iPhone χαρακτηρίζετα πλέον ως “το πιο πετυχημένο προϊόν στην ιστορία της ανθρωπότητας”! Νέο iPhone. Νέα Χαρακτηριστικά.",https://mxstore.gr/index.php?route=product/product&product_id=283,"580,00","https://mxstore.gr/image/cache/catalog/products/apple/iphone7black32_2-86x86.jpg,https://mxstore.gr/image/cache/catalog/products/apple/iphone7black32-488x488.jpg",Apple,iPhone 7 Black 32GB EU
"Από την πρώτη στιγμή που θα χρησιμοποιήσεις το Apple iPhone 7, θα καταλάβεις ότι δεν έχεις ξαναζήσει παρόμοια εμπειρία. Με πωλήσεις πάνω από 1 δισεκατομμύριο κομματία, το iPhone χαρακτηρίζετα πλέον ως “το πιο πετυχημένο προϊόν στην ιστορία της ανθρωπότητας”! Νέο iPhone. Νέα Χαρακτηριστικά.",https://mxstore.gr/index.php?route=product/product&product_id=288,"620,00","https://mxstore.gr/image/cache/catalog/products/apple/iphone7black32_2-86x86.jpg,https://mxstore.gr/image/cache/catalog/products/apple/iphone7black32-488x488.jpg",Apple,iPhone 7 Black 128GB EU 
"Από την πρώτη στιγμή που θα χρησιμοποιήσεις το Apple iPhone 7, θα καταλάβεις ότι δεν έχεις ξαναζήσει παρόμοια εμπειρία. Με πωλήσεις πάνω από 1 δισεκατομμύριο κομματία, το iPhone χαρακτηρίζετα πλέον ως “το πιο πετυχημένο προϊόν στην ιστορία της ανθρωπότητας”! Νέο iPhone. Νέα Χαρακτηριστικά.",https://mxstore.gr/index.php?route=product/product&product_id=289,"620,00","https://mxstore.gr/image/cache/catalog/products/apple/iphone7gold32_2-86x86.jpg,https://mxstore.gr/image/cache/catalog/products/apple/iphone7gold32-488x488.jpg",Apple,iPhone 7 Gold 128GB EU
"Από την πρώτη στιγμή που θα χρησιμοποιήσεις το Apple iPhone 7, θα καταλάβεις ότι δεν έχεις ξαναζήσει παρόμοια εμπειρία. Με πωλήσεις πάνω από 1 δισεκατομμύριο κομματία, το iPhone χαρακτηρίζετα πλέον ως “το πιο πετυχημένο προϊόν στην ιστορία της ανθρωπότητας”! Νέο iPhone. Νέα Χαρακτηριστικά.",https://mxstore.gr/index.php?route=product/product&product_id=290,"620,00","https://mxstore.gr/image/cache/catalog/products/apple/iphone7jetbalck32-488x488.jpg,https://mxstore.gr/image/cache/catalog/products/apple/iphone7jetbalck32_2-86x86.jpg",Apple,iPhone 7 128GB Jet Black EU
"Από την πρώτη στιγμή που θα χρησιμοποιήσεις το Apple iPhone 7, θα καταλάβεις ότι δεν έχεις ξαναζήσει παρόμοια εμπειρία. Με πωλήσεις πάνω από 1 δισεκατομμύριο κομματία, το iPhone χαρακτηρίζετα πλέον ως “το πιο πετυχημένο προϊόν στην ιστορία της ανθρωπότητας”! Νέο iPhone. Νέα Χαρακτηριστικά.",https://mxstore.gr/index.php?route=product/product&product_id=291,"620,00","https://mxstore.gr/image/cache/catalog/products/apple/iphone7rozegold32-488x488.jpg,https://mxstore.gr/image/cache/catalog/products/apple/iphone7rozegold32_2-86x86.jpg",Apple,iPhone 7 128GB Rose Gold  EU
"Από την πρώτη στιγμή που θα χρησιμοποιήσεις το Apple iPhone 7, θα καταλάβεις ότι δεν έχεις ξαναζήσει παρόμοια εμπειρία. Με πωλήσεις πάνω από 1 δισεκατομμύριο κομματία, το iPhone χαρακτηρίζετα πλέον ως “το πιο πετυχημένο προϊόν στην ιστορία της ανθρωπότητας”! Νέο iPhone. Νέα Χαρακτηριστικά.",https://mxstore.gr/index.php?route=product/product&product_id=292,"620,00","https://mxstore.gr/image/cache/catalog/products/apple/iphone7silver32-488x488.jpg,https://mxstore.gr/image/cache/catalog/products/apple/iphone7silver32_2-86x86.jpg",Apple,iPhone 7 128GB Silver White EU
"Από την πρώτη στιγμή που θα χρησιμοποιήσεις το Apple iPhone 7, θα καταλάβεις ότι δεν έχεις ξαναζήσει παρόμοια εμπειρία. Με πωλήσεις πάνω από 1 δισεκατομμύριο κομματία, το iPhone χαρακτηρίζετα πλέον ως “το πιο πετυχημένο προϊόν στην ιστορία της ανθρωπότητας”! Νέο iPhone. Νέα Χαρακτηριστικά.",https://mxstore.gr/index.php?route=product/product&product_id=293,"620,00","https://mxstore.gr/image/cache/catalog/products/apple/iphone7red128-488x488.jpg,https://mxstore.gr/image/cache/catalog/products/apple/iphone7red128_2-86x86.jpg",Apple,iPhone 7 Red 128GB EU
"Από την πρώτη στιγμή που θα χρησιμοποιήσεις το Apple iPhone 7, θα καταλάβεις ότι δεν έχεις ξαναζήσει παρόμοια εμπειρία. Με πωλήσεις πάνω από 1 δισεκατομμύριο κομματία, το iPhone χαρακτηρίζετα πλέον ως “το πιο πετυχημένο προϊόν στην ιστορία της ανθρωπότητας”! Νέο iPhone. Νέα Χαρακτηριστικά.",https://mxstore.gr/index.php?route=product/product&product_id=294,"655,00","https://mxstore.gr/image/cache/catalog/products/apple/iphone7plusblack32_2-86x86.jpg,https://mxstore.gr/image/cache/catalog/products/apple/iphone7plusblack32-488x488.jpg",Apple,iPhone 7 Plus 32GB Black EU
"Από την πρώτη στιγμή που θα χρησιμοποιήσεις το Apple iPhone 7, θα καταλάβεις ότι δεν έχεις ξαναζήσει παρόμοια εμπειρία. Με πωλήσεις πάνω από 1 δισεκατομμύριο κομματία, το iPhone χαρακτηρίζετα πλέον ως “το πιο πετυχημένο προϊόν στην ιστορία της ανθρωπότητας”! Νέο iPhone. Νέα Χαρακτηριστικά.",https://mxstore.gr/index.php?route=product/product&product_id=296,"655,00","https://mxstore.gr/image/cache/catalog/products/apple/iphone7plusjetblack32_2-86x86.jpg,https://mxstore.gr/image/cache/catalog/products/apple/iphone7plusjetblack32-488x488.jpg",Apple,iPhone 7 Plus 32GB Jet Black EU
"Από την πρώτη στιγμή που θα χρησιμοποιήσεις το Apple iPhone 7, θα καταλάβεις ότι δεν έχεις ξαναζήσει παρόμοια εμπειρία. Με πωλήσεις πάνω από 1 δισεκατομμύριο κομματία, το iPhone χαρακτηρίζετα πλέον ως “το πιο πετυχημένο προϊόν στην ιστορία της ανθρωπότητας”! Νέο iPhone. Νέα Χαρακτηριστικά.",https://mxstore.gr/index.php?route=product/product&product_id=298,"655,00","https://mxstore.gr/image/cache/catalog/products/apple/iphone7plusrozegold32_2-86x86.jpg,https://mxstore.gr/image/cache/catalog/products/apple/iphone7plusrozegold32-488x488.jpg",Apple,iPhone 7 Plus 32GB Rose Gold EU
"Από την πρώτη στιγμή που θα χρησιμοποιήσεις το Apple iPhone 7, θα καταλάβεις ότι δεν έχεις ξαναζήσει παρόμοια εμπειρία. Με πωλήσεις πάνω από 1 δισεκατομμύριο κομματία, το iPhone χαρακτηρίζετα πλέον ως “το πιο πετυχημένο προϊόν στην ιστορία της ανθρωπότητας”! Νέο iPhone. Νέα Χαρακτηριστικά.",https://mxstore.gr/index.php?route=product/product&product_id=301,"740,00","https://mxstore.gr/image/cache/catalog/products/apple/iphone7plusgold32_2-86x86.jpg,https://mxstore.gr/image/cache/catalog/products/apple/iphone7plusgold32-488x488.jpg",Apple,iPhone 7 Plus 128GB Gold EU
"Από την πρώτη στιγμή που θα χρησιμοποιήσεις το Apple iPhone 7, θα καταλάβεις ότι δεν έχεις ξαναζήσει παρόμοια εμπειρία. Με πωλήσεις πάνω από 1 δισεκατομμύριο κομματία, το iPhone χαρακτηρίζετα πλέον ως “το πιο πετυχημένο προϊόν στην ιστορία της ανθρωπότητας”! Νέο iPhone. Νέα Χαρακτηριστικά.",https://mxstore.gr/index.php?route=product/product&product_id=300,"740,00","https://mxstore.gr/image/cache/catalog/products/apple/iphone7plusblack32_2-86x86.jpg,https://mxstore.gr/image/cache/catalog/products/apple/iphone7plusblack32-488x488.jpg",Apple,iPhone 7 Plus 128GB Black EU
"Από την πρώτη στιγμή που θα χρησιμοποιήσεις το Apple iPhone 7, θα καταλάβεις ότι δεν έχεις ξαναζήσει παρόμοια εμπειρία. Με πωλήσεις πάνω από 1 δισεκατομμύριο κομματία, το iPhone χαρακτηρίζετα πλέον ως “το πιο πετυχημένο προϊόν στην ιστορία της ανθρωπότητας”! Νέο iPhone. Νέα Χαρακτηριστικά.",https://mxstore.gr/index.php?route=product/product&product_id=302,"740,00","https://mxstore.gr/image/cache/catalog/products/apple/iphone7plusjetblack32_2-86x86.jpg,https://mxstore.gr/image/cache/catalog/products/apple/iphone7plusjetblack32-488x488.jpg",Apple,iPhone 7 Plus 128GB Jet Black EU
"Από την πρώτη στιγμή που θα χρησιμοποιήσεις το Apple iPhone 7, θα καταλάβεις ότι δεν έχεις ξαναζήσει παρόμοια εμπειρία. Με πωλήσεις πάνω από 1 δισεκατομμύριο κομματία, το iPhone χαρακτηρίζετα πλέον ως “το πιο πετυχημένο προϊόν στην ιστορία της ανθρωπότητας”! Νέο iPhone. Νέα Χαρακτηριστικά.",https://mxstore.gr/index.php?route=product/product&product_id=299,"650,00","https://mxstore.gr/image/cache/catalog/products/apple/iphone7plussilver32_2-86x86.jpg,https://mxstore.gr/image/cache/catalog/products/apple/iphone7plussilver32-488x488.jpg",Apple,iPhone 7 Plus 32GB Silver White EU
